"Adduct","CF_class","CF_class_score","CF_componentindex","CF_Dparent","CF_Dparent_score","CF_kingdom","CF_kingdom_score","CF_MFramework","CF_MFramework_score","CF_NrNodes","CF_subclass","CF_subclass_score","CF_superclass","CF_superclass_score","charge","cluster index","componentindex","Compound_Name","Compound_Source","Data_Collector","DefaultGroups","G1","G2","G3","G4","G5","G6","GNPSLibraryURL","GNPSLinkout_Cluster","GNPSLinkout_Network","INCHI","Instrument","Ion_Source","IonMode","Library_Class","MassDiff","MQScore","MZErrorPPM","name","number of spectra","parent mass","PI","precursor mass","RTConsensus","RTMean","selected","shared name","SharedPeaks","Smiles","SpectrumID","sum(precursor intensity)","UniqueFileSources"
,"Benzene and substituted derivatives","0.3703703703703704","306","Purinones","0.14285714285714285","Organic compounds","1.0","Aromatic homomonocyclic compounds","0.48148148148148145","3.0","Benzoic acids and derivatives","0.2222222222222222","Organoheterocyclic compounds","0.42328042328042326","0","42","306",,,,"G2,G4","0.0","1.0","0.0","1.0","0.0","0.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=fdb7d11e20b94cbd95bfc2428f23c254&view=cluster_details&protein=42&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=306&task=fdb7d11e20b94cbd95bfc2428f23c254&show=true",,,,,,,,,"42","2","164.012",,"164.012","0.0","166.9365","false","42",,,,"1943060.0","Qe04833.mzML|Qe04835.mzML"
"M-H","Organooxygen compounds","0.46944444444444444","153","Glucuronic acid derivatives","0.22222222222222224","Organic compounds","1.0","Aliphatic acyclic compounds","0.3333333333333333","5.0","Carbohydrates and carbohydrate conjugates","0.35555555555555557","Organic oxygen compounds","0.46944444444444444","0","171","153","GALACTARATE","Commercial standard","Prasad","G1,G2,G3,G4,G5,G6","3.0","10.0","2.0","3.0","3.0","2.0","http://gnps.ucsd.edu/ProteoSAFe/gnpslibraryspectrum.jsp?SpectrumID=CCMSLIB00000578199","https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=fdb7d11e20b94cbd95bfc2428f23c254&view=cluster_details&protein=171&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=153&task=fdb7d11e20b94cbd95bfc2428f23c254&show=true","N/A","Q-Exactive Plus","LC-ESI","Negative","1","0.0","0.843834","0.0","171","23","209.03","Alexandrov Theodore","209.03","0.0","152.8623043478261","false","171","6","C(C(C(C(=O)O)O)O)(C(C(=O)O)O)O","CCMSLIB00000578199","1.25056E8","Qe04833.mzML|Qe04837.mzML|Qe04834.mzML|Qe04835.mzML|Qe04832.mzML|Qe04836.mzML"
,"no matches","0.0","357","no matches","0.0","no matches","0.0","no matches","0.0","2.0","no matches","0.0","no matches","0.0","0","305","357",,,,"G6","0.0","0.0","0.0","0.0","0.0","1.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=fdb7d11e20b94cbd95bfc2428f23c254&view=cluster_details&protein=305&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=357&task=fdb7d11e20b94cbd95bfc2428f23c254&show=true",,,,,,,,,"305","1","235.926",,"235.926","0.0","3184.09","false","305",,,,"333840.0","Qe04837.mzML"
,"Flavonoids","0.125","462","Flavonoid O-glycosides","0.125","Organic compounds","0.75","Aromatic heteropolycyclic compounds","0.5125","4.0","Flavonoid glycosides","0.125","Phenylpropanoids and polyketides","0.43125","0","1369","462",,,,"G1,G2,G3,G4,G5,G6","1.0","1.0","1.0","1.0","1.0","1.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=fdb7d11e20b94cbd95bfc2428f23c254&view=cluster_details&protein=1369&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=462&task=fdb7d11e20b94cbd95bfc2428f23c254&show=true",,,,,,,,,"1369","6","455.007",,"455.007","0.0","96.6046","false","1369",,,,"3783090.0","Qe04833.mzML|Qe04837.mzML|Qe04834.mzML|Qe04835.mzML|Qe04832.mzML|Qe04836.mzML"
,"no matches","0.0","267","no matches","0.0","no matches","0.0","no matches","0.0","4.0","no matches","0.0","no matches","0.0","0","1405","267",,,,"G1,G4,G6","1.0","0.0","0.0","1.0","0.0","1.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=fdb7d11e20b94cbd95bfc2428f23c254&view=cluster_details&protein=1405&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=267&task=fdb7d11e20b94cbd95bfc2428f23c254&show=true",,,,,,,,,"1405","3","468.8",,"468.8","0.0","104.75966666666666","false","1405",,,,"1411170.0","Qe04835.mzML|Qe04837.mzML|Qe04832.mzML"
,"Prenol lipids","0.4166666666666667","470","Aconitane-type diterpenoid alkaloids","0.3333333333333333","Organic compounds","1.0","Aromatic heteropolycyclic compounds","0.6904761904761905","2.0","Diterpenoids","0.3333333333333333","Lipids and lipid-like molecules","0.48809523809523814","0","1528","470",,,,"G5,G6","0.0","0.0","0.0","0.0","2.0","2.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=fdb7d11e20b94cbd95bfc2428f23c254&view=cluster_details&protein=1528&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=470&task=fdb7d11e20b94cbd95bfc2428f23c254&show=true",,,,,,,,,"1528","4","508.268",,"508.268","0.0","3200.2375","false","1528",,,,"1330380.0","Qe04837.mzML|Qe04836.mzML"
,"Prenol lipids","0.3333333333333333","291","1,2-diacylglycerol-3-phosphates","0.16666666666666666","Organic compounds","1.0","Aliphatic acyclic compounds","0.4166666666666667","2.0","Diradylglycerols","0.25","Lipids and lipid-like molecules","0.75","0","1876","291",,,,"G3","0.0","0.0","6.0","0.0","0.0","0.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=fdb7d11e20b94cbd95bfc2428f23c254&view=cluster_details&protein=1876&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=291&task=fdb7d11e20b94cbd95bfc2428f23c254&show=true",,,,,,,,,"1876","6","687.305",,"687.305","0.0","3249.895","false","1876",,,,"8797280.0","Qe04834.mzML"
,"no matches","0.0","27","no matches","0.0","no matches","0.0","no matches","0.0","100.0","no matches","0.0","no matches","0.0","0","264","27",,,,"G1","1.0","0.0","0.0","0.0","0.0","0.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=fdb7d11e20b94cbd95bfc2428f23c254&view=cluster_details&protein=264&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=27&task=fdb7d11e20b94cbd95bfc2428f23c254&show=true",,,,,,,,,"264","1","235.926",,"235.926","0.0","1184.35","false","264",,,,"505547.0","Qe04832.mzML"
,"no matches","0.0","27","no matches","0.0","no matches","0.0","no matches","0.0","100.0","no matches","0.0","no matches","0.0","0","365","27",,,,"G3","0.0","0.0","1.0","0.0","0.0","0.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=fdb7d11e20b94cbd95bfc2428f23c254&view=cluster_details&protein=365&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=27&task=fdb7d11e20b94cbd95bfc2428f23c254&show=true",,,,,,,,,"365","1","235.926",,"235.926","0.0","669.388","false","365",,,,"607188.0","Qe04834.mzML"
"M-H","no matches","0.0","S315","no matches","0.0","no matches","0.0","no matches","0.0","1.0","no matches","0.0","no matches","0.0","0","752","-1","Spectral Match to 12,13-DiHOME from NIST14","Isolated","Data deposited by pwiemann","G1,G2","1.0","1.0","0.0","0.0","0.0","0.0","http://gnps.ucsd.edu/ProteoSAFe/gnpslibraryspectrum.jsp?SpectrumID=CCMSLIB00003138554","https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=fdb7d11e20b94cbd95bfc2428f23c254&view=cluster_details&protein=752&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=fdb7d11e20b94cbd95bfc2428f23c254&show=true","N/A","HCD","ESI","Negative","3","0.00100708","0.5573859999999999","3.21505","752","2","313.238","Data from Wiemann","313.238","0.0","3298.12","false","752","4","N/A","CCMSLIB00003138554","1340930.0","Qe04833.mzML|Qe04832.mzML"
