"ComponentIndex","Cosine","DeltaMZ","EdgeAnnotation","EdgeType","interaction","MEH","name","OtherScore","selected","shared interaction","shared name","shared_motifs","TopSharedMotifs"
"-1","1.0","0.0","","Cosine","cosine","1.0","1 (-) 1","1.0","false","cosine","1 (-) 1","rhamn_motif_60.m2m","motif_142,motif_89,motif_51,motif_132,motif_97"
"-1","1.0","0.0","rhamn_motif_60.m2m","Mass2Motif","rhamn_motif_60.m2m","1.0","1 (-) 1","1.0","false","rhamn_motif_60.m2m","1 (-) 1","rhamn_motif_60.m2m","motif_142,motif_89,motif_51,motif_132,motif_97"
"-1","1.0","0.0","","Cosine","cosine","1.0","2 (-) 2","1.0","false","cosine","2 (-) 2","motif_66","motif_142,motif_89,motif_51,motif_132,motif_97"
"-1","1.0","0.0","motif_66","Mass2Motif","motif_66","1.0","2 (-) 2","1.0","false","motif_66","2 (-) 2","motif_66","motif_142,motif_89,motif_51,motif_132,motif_97"
"-1","1.0","0.0","","Cosine","cosine","1.0","3 (-) 3","1.0","false","cosine","3 (-) 3","motif_66","motif_142,motif_89,motif_51,motif_132,motif_97"
"-1","1.0","0.0","motif_66","Mass2Motif","motif_66","1.0","3 (-) 3","1.0","false","motif_66","3 (-) 3","motif_66","motif_142,motif_89,motif_51,motif_132,motif_97"
"-1","1.0","0.0","","Cosine","cosine","1.0","4 (-) 4","1.0","false","cosine","4 (-) 4","motif_66","motif_142,motif_89,motif_51,motif_132,motif_97"
"-1","1.0","0.0","motif_66","Mass2Motif","motif_66","1.0","4 (-) 4","1.0","false","motif_66","4 (-) 4","motif_66","motif_142,motif_89,motif_51,motif_132,motif_97"
"-1","1.0","0.0","","Cosine","cosine","1.0","5 (-) 5","1.0","false","cosine","5 (-) 5","motif_66","motif_142,motif_89,motif_51,motif_132,motif_97"
"-1","1.0","0.0","motif_66","Mass2Motif","motif_66","1.0","5 (-) 5","1.0","false","motif_66","5 (-) 5","motif_66","motif_142,motif_89,motif_51,motif_132,motif_97"
"-1","1.0","0.0","","Cosine","cosine","1.0","6 (-) 6","1.0","false","cosine","6 (-) 6","motif_46","motif_142,motif_89,motif_51,motif_132,motif_97"
"-1","1.0","0.0","motif_46","Mass2Motif","motif_46","1.0","6 (-) 6","1.0","false","motif_46","6 (-) 6","motif_46","motif_142,motif_89,motif_51,motif_132,motif_97"
"-1","1.0","0.0","","Cosine","cosine","1.0","7 (-) 7","1.0","false","cosine","7 (-) 7","motif_46","motif_142,motif_89,motif_51,motif_132,motif_97"
"-1","1.0","0.0","motif_46","Mass2Motif","motif_46","1.0","7 (-) 7","1.0","false","motif_46","7 (-) 7","motif_46","motif_142,motif_89,motif_51,motif_132,motif_97"
"-1","1.0","0.0","","Cosine","cosine","1.0","8 (-) 8","1.0","false","cosine","8 (-) 8","motif_66","motif_142,motif_89,motif_51,motif_132,motif_97"
"-1","1.0","0.0","motif_66","Mass2Motif","motif_66","1.0","8 (-) 8","1.0","false","motif_66","8 (-) 8","motif_66","motif_142,motif_89,motif_51,motif_132,motif_97"
"-1","1.0","0.0","","Cosine","cosine","1.0","9 (-) 9","1.0","false","cosine","9 (-) 9","motif_66","motif_142,motif_89,motif_51,motif_132,motif_97"
"-1","1.0","0.0","motif_66","Mass2Motif","motif_66","1.0","9 (-) 9","1.0","false","motif_66","9 (-) 9","motif_66","motif_142,motif_89,motif_51,motif_132,motif_97"
"-1","1.0","0.0","","Cosine","cosine","1.0","10 (-) 10","1.0","false","cosine","10 (-) 10","motif_66","motif_142,motif_89,motif_51,motif_132,motif_97"
"-1","1.0","0.0","motif_66","Mass2Motif","motif_66","1.0","10 (-) 10","1.0","false","motif_66","10 (-) 10","motif_66","motif_142,motif_89,motif_51,motif_132,motif_97"
"-1","1.0","0.0","","Cosine","cosine","1.0","11 (-) 11","1.0","false","cosine","11 (-) 11","motif_66","motif_142,motif_89,motif_51,motif_132,motif_97"
"-1","1.0","0.0","motif_66","Mass2Motif","motif_66","1.0","11 (-) 11","1.0","false","motif_66","11 (-) 11","motif_66","motif_142,motif_89,motif_51,motif_132,motif_97"
"-1","1.0","0.0","","Cosine","cosine","1.0","12 (-) 12","1.0","false","cosine","12 (-) 12","motif_66","motif_142,motif_89,motif_51,motif_132,motif_97"
"-1","1.0","0.0","motif_66","Mass2Motif","motif_66","1.0","12 (-) 12","1.0","false","motif_66","12 (-) 12","motif_66","motif_142,motif_89,motif_51,motif_132,motif_97"
"-1","1.0","0.0","","Cosine","cosine","1.0","13 (-) 13","1.0","false","cosine","13 (-) 13","motif_66","motif_142,motif_89,motif_51,motif_132,motif_97"
"-1","1.0","0.0","motif_66","Mass2Motif","motif_66","1.0","13 (-) 13","1.0","false","motif_66","13 (-) 13","motif_66","motif_142,motif_89,motif_51,motif_132,motif_97"
"-1","1.0","0.0","","Cosine","cosine","1.0","14 (-) 14","1.0","false","cosine","14 (-) 14","motif_66","motif_142,motif_89,motif_51,motif_132,motif_97"
"-1","1.0","0.0","motif_66","Mass2Motif","motif_66","1.0","14 (-) 14","1.0","false","motif_66","14 (-) 14","motif_66","motif_142,motif_89,motif_51,motif_132,motif_97"
"-1","1.0","0.0","","Cosine","cosine","1.0","15 (-) 15","1.0","false","cosine","15 (-) 15","motif_66","motif_142,motif_89,motif_51,motif_132,motif_97"
"-1","1.0","0.0","motif_66","Mass2Motif","motif_66","1.0","15 (-) 15","1.0","false","motif_66","15 (-) 15","motif_66","motif_142,motif_89,motif_51,motif_132,motif_97"
"-1","1.0","0.0","","Cosine","cosine","1.0","16 (-) 16","1.0","false","cosine","16 (-) 16","motif_46","motif_142,motif_89,motif_51,motif_132,motif_97"
"-1","1.0","0.0","motif_46","Mass2Motif","motif_46","1.0","16 (-) 16","1.0","false","motif_46","16 (-) 16","motif_46","motif_142,motif_89,motif_51,motif_132,motif_97"
"-1","1.0","0.0","","Cosine","cosine","1.0","17 (-) 17","1.0","false","cosine","17 (-) 17","motif_66","motif_142,motif_89,motif_51,motif_132,motif_97"
"-1","1.0","0.0","motif_66","Mass2Motif","motif_66","1.0","17 (-) 17","1.0","false","motif_66","17 (-) 17","motif_66","motif_142,motif_89,motif_51,motif_132,motif_97"
"-1","1.0","0.0","","Cosine","cosine","1.0","18 (-) 18","1.0","false","cosine","18 (-) 18","motif_66","motif_142,motif_89,motif_51,motif_132,motif_97"
"-1","1.0","0.0","motif_66","Mass2Motif","motif_66","1.0","18 (-) 18","1.0","false","motif_66","18 (-) 18","motif_66","motif_142,motif_89,motif_51,motif_132,motif_97"
"-1","1.0","0.0","","Cosine","cosine","1.0","19 (-) 19","1.0","false","cosine","19 (-) 19","motif_46","motif_142,motif_89,motif_51,motif_132,motif_97"
"-1","1.0","0.0","motif_46","Mass2Motif","motif_46","1.0","19 (-) 19","1.0","false","motif_46","19 (-) 19","motif_46","motif_142,motif_89,motif_51,motif_132,motif_97"
"-1","1.0","0.0","","Cosine","cosine","1.0","20 (-) 20","1.0","false","cosine","20 (-) 20","motif_46","motif_142,motif_89,motif_51,motif_132,motif_97"
"-1","1.0","0.0","motif_46","Mass2Motif","motif_46","1.0","20 (-) 20","1.0","false","motif_46","20 (-) 20","motif_46","motif_142,motif_89,motif_51,motif_132,motif_97"
"-1","1.0","0.0","","Cosine","cosine","1.0","21 (-) 21","1.0","false","cosine","21 (-) 21","motif_46","motif_142,motif_89,motif_51,motif_132,motif_97"
"-1","1.0","0.0","motif_46","Mass2Motif","motif_46","1.0","21 (-) 21","1.0","false","motif_46","21 (-) 21","motif_46","motif_142,motif_89,motif_51,motif_132,motif_97"
"-1","1.0","0.0","","Cosine","cosine","1.0","22 (-) 22","1.0","false","cosine","22 (-) 22","motif_66","motif_142,motif_89,motif_51,motif_132,motif_97"
"-1","1.0","0.0","motif_66","Mass2Motif","motif_66","1.0","22 (-) 22","1.0","false","motif_66","22 (-) 22","motif_66","motif_142,motif_89,motif_51,motif_132,motif_97"
"-1","1.0","0.0","","Cosine","cosine","1.0","23 (-) 23","1.0","false","cosine","23 (-) 23","motif_142,rhamn_motif_172.m2m","motif_142,motif_89,motif_51,motif_132,motif_97"
