"","Molecular Family","Motifs"
"1",-1,"motif_142,motif_89,motif_51,motif_132,motif_97"
"2",189,"motif_62"
"3",84,"motif_36"
"4",314,"rhamn_motif_60.m2m"
"5",115,"motif_98"
"6",25,"motif_157,motif_107"
"7",153,"motif_127,motif_169"
"8",170,"motif_169"
"9",32,"motif_130,motif_137,motif_166,motif_47,motif_170"
"10",182,"motif_68"
"11",19,"motif_51,motif_159,rhamn_motif_163.m2m,motif_59"
"12",70,"motif_92,motif_86,motif_130"
"13",403,"rhamn_motif_60.m2m,motif_119"
"14",2,"motif_119,motif_150,motif_142,motif_87"
"15",82,"motif_121,motif_119,motif_132"
"16",27,"motif_152,motif_110,motif_171,motif_68,motif_157"
"17",34,"rhamn_motif_108.m2m"
"18",318,"rhamn_motif_172.m2m"
"19",266,"motif_43,motif_143"
"20",187,"motif_142"
"21",492,"motif_98"
"22",283,"motif_171"
"23",123,"motif_70"
"24",61,"motif_86"
"25",255,"motif_98"
"26",15,"motif_177"
"27",346,"motif_132"
"28",411,"motif_33,motif_177"
"29",45,"motif_97"
"30",80,"motif_126,motif_103,motif_49,motif_47"
"31",462,"motif_165,motif_86"
"32",73,"motif_106"
"33",76,"motif_108,motif_51"
"34",355,"motif_114"
"35",47,"motif_72,motif_51,rhamn_motif_163.m2m,motif_168,rhamn_motif_108.m2m"
"36",55,"motif_52,motif_81,motif_51,motif_156,rhamn_motif_163.m2m"
"37",22,"motif_47,motif_49"
"38",502,"motif_85,motif_89"
