"","Molecular Family","Motifs"
"1",189,"motif_62"
"2",371,"motif_180"
"3",25,"motif_157"
"4",153,"motif_127"
"5",70,"motif_92"
"6",103,"motif_87"
"7",34,"rhamn_motif_108.m2m"
"8",318,"rhamn_motif_172.m2m"
"9",266,"motif_43"
"10",283,"motif_171"
"11",12,"motif_146"
"12",26,"rhamn_motif_120.m2m"
"13",123,"motif_70"
"14",346,"motif_132"
"15",135,"motif_78"
"16",355,"motif_114"
"17",51,"motif_139"
"18",524,"motif_96"
"19",120,"motif_37"
"20",93,"motif_168"
"21",8,"motif_129"
"22",502,"motif_85"
"23",378,"motif_176"
"24",322,"motif_147"
"25",50,"motif_149"
"26",266,"motif_143"
"27",125,"motif_156"
"28",8,"motif_155"
"29",22,"motif_49"
"30",3,"motif_162"
"31",328,"motif_102"
