"","Molecular Family","Motifs"
"1",26,"motif_282,motif_211,motif_250"
"2",723,"gnps_motif_45.m2m,motif_119,motif_282"
"3",40,"motif_211"
"4",335,"motif_290,motif_250"
"5",583,"motif_128,motif_290"
"6",646,"motif_211"
"7",435,"motif_276,motif_119"
"8",14,"motif_282,motif_148"
"9",386,"motif_250,motif_119,motif_290,gnps_motif_45.m2m"
"10",2,"gnps_motif_45.m2m,motif_250"
"11",54,"gnps_motif_48.m2m,motif_281,motif_226"
"12",99,"motif_291,motif_218"
"13",1302,"motif_291,motif_218,motif_175"
"14",711,"motif_125,motif_158"
