"ComponentIndex","Cosine","DeltaMZ","EdgeAnnotation","EdgeType","interaction","MEH","name","OtherScore","selected","shared interaction","shared name","shared_motifs","TopSharedMotifs"
"433","0.6687","-1.005","","Cosine","cosine","6485.0","6485 (-) 6486","6485.0","false","cosine","6485 (-) 6486","",""
"433","0.6745","-2.0069999999999997","","Cosine","cosine","6483.0","6483 (-) 6486","6483.0","false","cosine","6483 (-) 6486","",""
"433","0.7786","-1.002","","Cosine","cosine","6483.0","6483 (-) 6485","6483.0","false","cosine","6483 (-) 6485","",""
"569","0.6252","-0.9990000000000001","","Cosine","cosine","6475.0","6475 (-) 6476","6475.0","false","cosine","6475 (-) 6476","",""
"433","0.5437","-73.044","","Cosine","cosine","6468.0","6468 (-) 6486","6468.0","false","cosine","6468 (-) 6486","",""
"433","0.5898","-72.039","","Cosine","cosine","6468.0","6468 (-) 6485","6468.0","false","cosine","6468 (-) 6485","",""
"433","0.59","-71.03699999999999","","Cosine","cosine","6468.0","6468 (-) 6483","6468.0","false","cosine","6468 (-) 6483","",""
"21","0.9959","-1.006","","Cosine","cosine","6462.0","6462 (-) 6464","6462.0","false","cosine","6462 (-) 6464","","motif_144,motif_290"
"569","0.5675","-71.03399999999999","","Cosine","cosine","6458.0","6458 (-) 6476","6458.0","false","cosine","6458 (-) 6476","",""
"569","0.7161","-2.004","","Cosine","cosine","6457.0","6457 (-) 6458","6457.0","false","cosine","6457 (-) 6458","",""
"38","0.9474","-0.16899999999999998","motif_124","Mass2Motif","motif_124","6446.0","6446 (-) 6447","6446.0","false","motif_124","6446 (-) 6447","motif_124","motif_124"
"38","0.9474","-0.16899999999999998","","Cosine","cosine","6446.0","6446 (-) 6447","6446.0","false","cosine","6446 (-) 6447","motif_124","motif_124"
"38","0.946","-0.336","motif_124","Mass2Motif","motif_124","6445.0","6445 (-) 6447","6445.0","false","motif_124","6445 (-) 6447","motif_124","motif_124"
"38","0.946","-0.336","","Cosine","cosine","6445.0","6445 (-) 6447","6445.0","false","cosine","6445 (-) 6447","motif_124","motif_124"
"38","0.9497","-0.16699999999999998","motif_124","Mass2Motif","motif_124","6445.0","6445 (-) 6446","6445.0","false","motif_124","6445 (-) 6446","motif_124","motif_124"
"38","0.9497","-0.16699999999999998","","Cosine","cosine","6445.0","6445 (-) 6446","6445.0","false","cosine","6445 (-) 6446","motif_124","motif_124"
"38","0.9448","-0.506","motif_124","Mass2Motif","motif_124","6444.0","6444 (-) 6447","6444.0","false","motif_124","6444 (-) 6447","motif_124","motif_124"
"38","0.9448","-0.506","","Cosine","cosine","6444.0","6444 (-) 6447","6444.0","false","cosine","6444 (-) 6447","motif_124","motif_124"
"38","0.9508","-0.337","motif_124","Mass2Motif","motif_124","6444.0","6444 (-) 6446","6444.0","false","motif_124","6444 (-) 6446","motif_124","motif_124"
"38","0.9508","-0.337","","Cosine","cosine","6444.0","6444 (-) 6446","6444.0","false","cosine","6444 (-) 6446","motif_124","motif_124"
"38","0.9554","-0.17","motif_124","Mass2Motif","motif_124","6444.0","6444 (-) 6445","6444.0","false","motif_124","6444 (-) 6445","motif_124","motif_124"
"38","0.9554","-0.17","","Cosine","cosine","6444.0","6444 (-) 6445","6444.0","false","cosine","6444 (-) 6445","motif_124","motif_124"
"38","0.9284","-0.67","motif_124","Mass2Motif","motif_124","6443.0","6443 (-) 6447","6443.0","false","motif_124","6443 (-) 6447","motif_124","motif_124"
"38","0.9284","-0.67","","Cosine","cosine","6443.0","6443 (-) 6447","6443.0","false","cosine","6443 (-) 6447","motif_124","motif_124"
"38","0.9236","-0.501","motif_124","Mass2Motif","motif_124","6443.0","6443 (-) 6446","6443.0","false","motif_124","6443 (-) 6446","motif_124","motif_124"
"38","0.9236","-0.501","","Cosine","cosine","6443.0","6443 (-) 6446","6443.0","false","cosine","6443 (-) 6446","motif_124","motif_124"
"38","0.9063","-0.33399999999999996","motif_124","Mass2Motif","motif_124","6443.0","6443 (-) 6445","6443.0","false","motif_124","6443 (-) 6445","motif_124","motif_124"
"38","0.9063","-0.33399999999999996","","Cosine","cosine","6443.0","6443 (-) 6445","6443.0","false","cosine","6443 (-) 6445","motif_124","motif_124"
"38","0.9294","-0.16399999999999998","motif_124","Mass2Motif","motif_124","6443.0","6443 (-) 6444","6443.0","false","motif_124","6443 (-) 6444","motif_124","motif_124"
"38","0.9294","-0.16399999999999998","","Cosine","cosine","6443.0","6443 (-) 6444","6443.0","false","cosine","6443 (-) 6444","motif_124","motif_124"
"38","0.8742","-7.837999999999999","motif_124","Mass2Motif","motif_124","6417.0","6417 (-) 6447","6417.0","false","motif_124","6417 (-) 6447","motif_124","motif_124"
"38","0.8742","-7.837999999999999","","Cosine","cosine","6417.0","6417 (-) 6447","6417.0","false","cosine","6417 (-) 6447","motif_124","motif_124"
"38","0.8746","-7.669","motif_124","Mass2Motif","motif_124","6417.0","6417 (-) 6446","6417.0","false","motif_124","6417 (-) 6446","motif_124","motif_124"
"38","0.8746","-7.669","","Cosine","cosine","6417.0","6417 (-) 6446","6417.0","false","cosine","6417 (-) 6446","motif_124","motif_124"
"38","0.8843","-7.502000000000001","motif_124","Mass2Motif","motif_124","6417.0","6417 (-) 6445","6417.0","false","motif_124","6417 (-) 6445","motif_124","motif_124"
"38","0.8843","-7.502000000000001","","Cosine","cosine","6417.0","6417 (-) 6445","6417.0","false","cosine","6417 (-) 6445","motif_124","motif_124"
"38","0.8839","-7.332000000000001","motif_124","Mass2Motif","motif_124","6417.0","6417 (-) 6444","6417.0","false","motif_124","6417 (-) 6444","motif_124","motif_124"
"38","0.8839","-7.332000000000001","","Cosine","cosine","6417.0","6417 (-) 6444","6417.0","false","cosine","6417 (-) 6444","motif_124","motif_124"
"38","0.8338","-7.167999999999999","motif_124","Mass2Motif","motif_124","6417.0","6417 (-) 6443","6417.0","false","motif_124","6417 (-) 6443","motif_124","motif_124"
"38","0.8338","-7.167999999999999","","Cosine","cosine","6417.0","6417 (-) 6443","6417.0","false","cosine","6417 (-) 6443","motif_124","motif_124"
"38","0.8740000000000001","-7.999","motif_124","Mass2Motif","motif_124","6416.0","6416 (-) 6447","6416.0","false","motif_124","6416 (-) 6447","motif_124","motif_124"
"38","0.8740000000000001","-7.999","","Cosine","cosine","6416.0","6416 (-) 6447","6416.0","false","cosine","6416 (-) 6447","motif_124","motif_124"
"38","0.871","-7.83","motif_124","Mass2Motif","motif_124","6416.0","6416 (-) 6446","6416.0","false","motif_124","6416 (-) 6446","motif_124","motif_124"
"38","0.871","-7.83","","Cosine","cosine","6416.0","6416 (-) 6446","6416.0","false","cosine","6416 (-) 6446","motif_124","motif_124"
"38","0.8843","-7.662999999999999","motif_124","Mass2Motif","motif_124","6416.0","6416 (-) 6445","6416.0","false","motif_124","6416 (-) 6445","motif_124","motif_124"
"38","0.8843","-7.662999999999999","","Cosine","cosine","6416.0","6416 (-) 6445","6416.0","false","cosine","6416 (-) 6445","motif_124","motif_124"
"38","0.8825","-7.492999999999999","motif_124","Mass2Motif","motif_124","6416.0","6416 (-) 6444","6416.0","false","motif_124","6416 (-) 6444","motif_124","motif_124"
"38","0.8825","-7.492999999999999","","Cosine","cosine","6416.0","6416 (-) 6444","6416.0","false","cosine","6416 (-) 6444","motif_124","motif_124"
"38","0.8453","-7.329","motif_124","Mass2Motif","motif_124","6416.0","6416 (-) 6443","6416.0","false","motif_124","6416 (-) 6443","motif_124","motif_124"
"38","0.8453","-7.329","","Cosine","cosine","6416.0","6416 (-) 6443","6416.0","false","cosine","6416 (-) 6443","motif_124","motif_124"
"38","0.9636","-0.161","motif_124","Mass2Motif","motif_124","6416.0","6416 (-) 6417","6416.0","false","motif_124","6416 (-) 6417","motif_124","motif_124"
"38","0.9636","-0.161","","Cosine","cosine","6416.0","6416 (-) 6417","6416.0","false","cosine","6416 (-) 6417","motif_124","motif_124"
"38","0.8746","-8.172","motif_124","Mass2Motif","motif_124","6412.0","6412 (-) 6447","6412.0","false","motif_124","6412 (-) 6447","motif_124","motif_124"
"38","0.8746","-8.172","","Cosine","cosine","6412.0","6412 (-) 6447","6412.0","false","cosine","6412 (-) 6447","motif_124","motif_124"
"38","0.8722","-8.003","motif_124","Mass2Motif","motif_124","6412.0","6412 (-) 6446","6412.0","false","motif_124","6412 (-) 6446","motif_124","motif_124"
"38","0.8722","-8.003","","Cosine","cosine","6412.0","6412 (-) 6446","6412.0","false","cosine","6412 (-) 6446","motif_124","motif_124"
"38","0.8725","-7.836","motif_124","Mass2Motif","motif_124","6412.0","6412 (-) 6445","6412.0","false","motif_124","6412 (-) 6445","motif_124","motif_124"
"38","0.8725","-7.836","","Cosine","cosine","6412.0","6412 (-) 6445","6412.0","false","cosine","6412 (-) 6445","motif_124","motif_124"
"38","0.8788","-7.666","motif_124","Mass2Motif","motif_124","6412.0","6412 (-) 6444","6412.0","false","motif_124","6412 (-) 6444","motif_124","motif_124"
"38","0.8788","-7.666","","Cosine","cosine","6412.0","6412 (-) 6444","6412.0","false","cosine","6412 (-) 6444","motif_124","motif_124"
"38","0.8484","-7.502000000000001","motif_124","Mass2Motif","motif_124","6412.0","6412 (-) 6443","6412.0","false","motif_124","6412 (-) 6443","motif_124","motif_124"
"38","0.8484","-7.502000000000001","","Cosine","cosine","6412.0","6412 (-) 6443","6412.0","false","cosine","6412 (-) 6443","motif_124","motif_124"
"38","0.9434","-0.33399999999999996","motif_124","Mass2Motif","motif_124","6412.0","6412 (-) 6417","6412.0","false","motif_124","6412 (-) 6417","motif_124","motif_124"
"38","0.9434","-0.33399999999999996","","Cosine","cosine","6412.0","6412 (-) 6417","6412.0","false","cosine","6412 (-) 6417","motif_124","motif_124"
"38","0.9507","-0.17300000000000001","motif_124","Mass2Motif","motif_124","6412.0","6412 (-) 6416","6412.0","false","motif_124","6412 (-) 6416","motif_124","motif_124"
"38","0.9507","-0.17300000000000001","","Cosine","cosine","6412.0","6412 (-) 6416","6412.0","false","cosine","6412 (-) 6416","motif_124","motif_124"
"38","0.8918","-8.336","motif_124","Mass2Motif","motif_124","6406.0","6406 (-) 6447","6406.0","false","motif_124","6406 (-) 6447","motif_124","motif_124"
"38","0.8918","-8.336","","Cosine","cosine","6406.0","6406 (-) 6447","6406.0","false","cosine","6406 (-) 6447","motif_124","motif_124"
"38","0.8826","-8.167","motif_124","Mass2Motif","motif_124","6406.0","6406 (-) 6446","6406.0","false","motif_124","6406 (-) 6446","motif_124","motif_124"
"38","0.8826","-8.167","","Cosine","cosine","6406.0","6406 (-) 6446","6406.0","false","cosine","6406 (-) 6446","motif_124","motif_124"
"38","0.8828","-8.0","motif_124","Mass2Motif","motif_124","6406.0","6406 (-) 6445","6406.0","false","motif_124","6406 (-) 6445","motif_124","motif_124"
"38","0.8828","-8.0","","Cosine","cosine","6406.0","6406 (-) 6445","6406.0","false","cosine","6406 (-) 6445","motif_124","motif_124"
"38","0.9529","-0.16399999999999998","motif_124","Mass2Motif","motif_124","6406.0","6406 (-) 6412","6406.0","false","motif_124","6406 (-) 6412","motif_124","motif_124"
"38","0.9529","-0.16399999999999998","","Cosine","cosine","6406.0","6406 (-) 6412","6406.0","false","cosine","6406 (-) 6412","motif_124","motif_124"
"38","0.8621","-7.666","motif_124","Mass2Motif","motif_124","6406.0","6406 (-) 6443","6406.0","false","motif_124","6406 (-) 6443","motif_124","motif_124"
"38","0.8621","-7.666","","Cosine","cosine","6406.0","6406 (-) 6443","6406.0","false","cosine","6406 (-) 6443","motif_124","motif_124"
"38","0.893","-7.83","motif_124","Mass2Motif","motif_124","6406.0","6406 (-) 6444","6406.0","false","motif_124","6406 (-) 6444","motif_124","motif_124"
"38","0.893","-7.83","","Cosine","cosine","6406.0","6406 (-) 6444","6406.0","false","cosine","6406 (-) 6444","motif_124","motif_124"
