"","Molecular Family","Motifs"
"1",58,"gnps_motif_45.m2m,motif_119,motif_282,motif_250,motif_185"
"2",179,"motif_241,motif_127,motif_125"
"3",72,"motif_270,gnps_motif_14.m2m,gnps_motif_59.m2m,gnps_motif_3.m2m,motif_103"
"4",89,"gnps_motif_54.m2m,motif_106,gnps_motif_51.m2m,gnps_motif_170.m2m,gnps_motif_37.m2m"
"5",49,"motif_233,motif_180,gnps_motif_54.m2m"
"6",76,"motif_250,gnps_motif_45.m2m"
"7",495,"motif_264"
"8",35,"motif_103"
"9",28,"motif_180,motif_106"
"10",19,"motif_122,motif_138,motif_111,motif_205,motif_191"
"11",86,"motif_251,motif_282,motif_132"
"12",294,"motif_122,motif_111,motif_191,motif_282"
"13",288,"gnps_motif_64.m2m,motif_151,motif_115,motif_268"
"14",98,"motif_226,motif_252"
"15",379,"gnps_motif_51.m2m"
"16",185,"motif_268,motif_189"
"17",249,"gnps_motif_66.m2m"
"18",229,"motif_122,motif_151,motif_252,motif_191,motif_111"
"19",298,"motif_161,motif_122,gnps_motif_56.m2m,motif_264"
"20",324,"motif_119,motif_174,motif_122"
"21",27,"gnps_motif_45.m2m,motif_250"
"22",54,"gnps_motif_48.m2m,motif_281,motif_226"
"23",211,"motif_281,motif_161,motif_122"
"24",235,"motif_103"
"25",398,"motif_274"
"26",277,"motif_184,motif_281,motif_122"
"27",214,"motif_221,motif_291,motif_119,motif_218"
"28",279,"motif_192,motif_145,motif_285"
"29",193,"motif_158,motif_234,motif_264,motif_268"
"30",1028,"gnps_motif_35.m2m,motif_103,gnps_motif_43.m2m"
"31",93,"motif_192,motif_285,motif_104"
"32",45,"motif_104,motif_210,motif_209"
"33",96,"motif_104"
"34",329,"motif_153,motif_158"
"35",146,"motif_115,motif_252"
"36",1012,"motif_234"
"37",77,"motif_209,motif_268,motif_285"
"38",741,"gnps_motif_59.m2m,motif_183,gnps_motif_58.m2m"
"39",493,"gnps_motif_4.m2m"
"40",24,"motif_103,gnps_motif_48.m2m"
"41",997,"motif_122"
"42",331,"gnps_motif_58.m2m,gnps_motif_35.m2m"
