"","ComponentIndex","motifs"
"1",295,"motif_288"
"2",70,"motif_204"
"3",304,"motif_126"
"4",20,"motif_110"
"5",179,"motif_241"
"6",72,"motif_270"
"7",49,"motif_233"
"8",694,"motif_136"
"9",105,"motif_185"
"10",435,"motif_276"
"11",495,"motif_264"
"12",225,"gnps_motif_25.m2m"
"13",158,"motif_186"
"14",98,"motif_226"
"15",379,"gnps_motif_51.m2m"
"16",398,"motif_274"
"17",277,"motif_184"
"18",214,"motif_221"
"19",660,"mb_motif_150.m2m"
"20",329,"motif_153"
"21",146,"motif_115"
"22",126,"motif_225"
"23",22,"gnps_motif_13.m2m"
"24",245,"motif_133"
"25",77,"motif_209"
"26",711,"motif_125"
"27",493,"gnps_motif_4.m2m"
"28",331,"gnps_motif_58.m2m"
"29",100,"motif_142"
"30",179,"motif_127"
"31",19,"motif_138"
"32",294,"motif_111"
"33",185,"motif_189"
"34",4,"motif_190"
"35",279,"motif_145"
"36",45,"motif_210"
"37",200,"motif_181"
"38",570,"motif_101"
